x(m)  Ex_total(V/m)  Ey_total(V/m)  Ex_dipole(V/m)  Ey_dipole(V/m)  Ex_quadrupole(V/m)  Ey_quadrupole(V/m)  Ex_sextupole(V/m)  Ey_sextupole(V/m)  Ex_octupole(V/m)  Ey_octupole(V/m)
1.400000000000000029e-02 1.155829415650000058e+01 -1.447531924099999946e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 2.212055492416717170e+05 1.034622850809286286e-14 -3.853945860410369901e-12 -1.117836278343273989e+04 1.650914596165978946e+04 -6.056884063183458243e-12
1.499999999999999944e-02 1.229898122610000044e+01 -1.447529624229999958e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 2.370059456160768459e+05 6.375839538687318570e-13 -4.356331021937253179e-12 -1.283230421567533813e+04 2.030552755852834525e+04 -7.288676346384881361e-12
1.600000000000000033e-02 1.386310049199999916e+01 -1.447522259159999900e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 2.528063419904819748e+05 1.264821679229372467e-12 -4.888996625378099431e-12 -1.460031057427949418e+04 2.464338989029099685e+04 -8.674755706871846183e-12
1.700000000000000122e-02 1.529731801209999986e+01 -1.447508332390000112e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 2.686067383648871328e+05 1.892059404590013077e-12 -5.451942670732907042e-12 -1.648238185924521167e+04 2.955883167260734626e+04 -1.022407202895389953e-11
1.799999999999999864e-02 1.678179568550000056e+01 -1.447486650559999980e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 2.844071347392922034e+05 2.519297129950652071e-12 -6.045169158001676012e-12 -1.847851807057248516e+04 3.508795162113697734e+04 -1.194557519694058015e-11
1.899999999999999953e-02 1.681932004389999946e+01 -1.447455754560000030e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 3.002075311136973323e+05 3.146534855311292680e-12 -6.668676087184407956e-12 -2.058871920826131827e+04 4.126684845153953938e+04 -1.384821509514144616e-11
2.000000000000000042e-02 2.009374442340000044e+01 -1.447410999839999946e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 3.160079274881024612e+05 3.773772580671933290e-12 -7.322463458281101259e-12 -2.281298527231171101e+04 4.813162087947461259e+04 -1.594094160786603470e-11
2.100000000000000130e-02 2.196889456539999941e+01 -1.447351127099999925e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 3.318083238625075901e+05 4.401010306032573900e-12 -8.006531271291757536e-12 -2.515131626272366339e+04 5.571836762060179899e+04 -1.823270461942388935e-11
2.199999999999999872e-02 2.020000988729999847e+01 -1.447267582320000045e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 3.476087202369127190e+05 5.028248031393211279e-12 -8.720879526216371941e-12 -2.760371217949716811e+04 6.406318739058068604e+04 -2.073245401412455533e-11
2.299999999999999961e-02 2.207781567079999974e+01 -1.447171881710000103e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 3.634091166113178479e+05 5.655485756753851888e-12 -9.465508223054954167e-12 -3.017017302263223610e+04 7.320217890507093398e+04 -2.344913967627758591e-11
2.400000000000000050e-02 3.119254585170000027e+01 -1.447048540860000066e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 3.792095129857229767e+05 6.282723482114492498e-12 -1.024041736180749452e-11 -3.285069879212886735e+04 8.317144087973210844e+04 -2.639171149019251822e-11
2.500000000000000139e-02 2.956873359920000155e+01 -1.446890887080000015e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 3.950099093601281056e+05 6.909961207475133108e-12 -1.104560694247399947e-11 -3.564528948798705824e+04 9.400707203022384783e+04 -2.956911934017890877e-11
2.599999999999999881e-02 3.369688514700000326e+01 -1.446690951210000087e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 4.108103057345331763e+05 7.537198932835773718e-12 -1.188107696505446254e-11 -3.855394511020679056e+04 1.057451710722056887e+05 -3.299031311054627855e-11
2.699999999999999969e-02 2.474117637639999856e+01 -1.446454001519999932e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 4.266107021089383052e+05 8.164436658196414327e-12 -1.274682742954888858e-11 -4.157666565878809342e+04 1.184218367213373131e+05 -3.666424268560420344e-11
2.800000000000000058e-02 1.968805153319999945e+01 -1.446166371730000013e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 4.424110984833434341e+05 8.791674383557054937e-12 -1.364285833595727922e-11 -4.471345113373095955e+04 1.320731676932783157e+05 -4.059985794966221735e-11
2.900000000000000147e-02 3.963240833190000245e+01 -1.445873283589999890e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 4.582114948577486211e+05 9.418912108917695547e-12 -1.456916968427962960e-11 -4.796430153503537440e+04 1.467352627036882623e+05 -4.480610878702986063e-11
2.999999999999999889e-02 4.201831136540000244e+01 -1.445395577160000103e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 4.740118912321536918e+05 1.004614983427833293e-11 -1.552576147451594134e-11 -5.132921686270135251e+04 1.624442204682267620e+05 -4.929194508201667364e-11
