y(m)  Ex_total(V/m)  Ey_total(V/m)  Ex_dipole(V/m)  Ey_dipole(V/m)  Ex_quadrupole(V/m)  Ey_quadrupole(V/m)  Ex_sextupole(V/m)  Ey_sextupole(V/m)  Ex_octupole(V/m)  Ey_octupole(V/m)
7.000000000000000146e-03 0.000000000000000000e+00 -1.447415541040000040e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 4.390664077524481037e-12 -1.106027746208358585e+05 7.418708268920674271e-13 2.794590695858184972e+03 5.116350530290120117e-13 2.063643245207473683e+03
8.000000000000000167e-03 0.000000000000000000e+00 -1.447402480960000074e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 5.017901802885120839e-12 -1.264031709952409874e+05 9.689741412467818590e-13 3.650077643569873544e+03 7.637234610812074144e-13 3.080423736286374606e+03
8.999999999999999320e-03 0.000000000000000000e+00 -1.447388322089999914e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 5.645139528245760641e-12 -1.422035673696461017e+05 1.226357897515458054e-12 4.619629517643121289e+03 1.087410943609765671e-12 4.385993952642122167e+03
1.000000000000000021e-02 0.000000000000000000e+00 -1.447369771939999890e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 6.272377253606401251e-12 -1.580039637440512306e+05 1.514022095698096617e-12 5.703246318077927754e+03 1.491647384924233402e-12 6.016452609934326574e+03
1.099999999999999936e-02 0.000000000000000000e+00 -1.447350443609999958e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 6.899614978967040245e-12 -1.738043601184563595e+05 1.831966735794696539e-12 6.900928044874292027e+03 1.985382669334154195e-12 8.007898423822585755e+03
1.200000000000000025e-02 0.000000000000000000e+00 -1.447329088459999999e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 7.526852704327680855e-12 -1.896047564928614884e+05 2.180191817805259031e-12 8.212674698032216838e+03 2.577566681149074872e-12 1.039643010996651356e+04
1.299999999999999940e-02 0.000000000000000000e+00 -1.447303307060000021e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 8.154090429688321465e-12 -2.054051528672665881e+05 2.558697341729783287e-12 9.638486277551697640e+03 3.277149304678540033e-12 1.321814638402571109e+04
1.400000000000000029e-02 0.000000000000000000e+00 -1.447274555880000116e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 8.781328155048962074e-12 -2.212055492416717170e+05 2.967483307568269708e-12 1.117836278343273989e+04 4.093080424232096094e-12 1.650914596165978946e+04
1.499999999999999944e-02 0.000000000000000000e+00 -1.447241688540000003e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 9.408565880409601068e-12 -2.370059456160768459e+05 3.406549715320717489e-12 1.283230421567533813e+04 5.034309924119287049e-12 2.030552755852834525e+04
1.600000000000000033e-02 0.000000000000000000e+00 -1.447208390339999925e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.003580360577024168e-11 -2.528063419904819748e+05 3.875896564987127436e-12 1.460031057427949418e+04 6.109787688649659315e-12 2.464338989029099685e+04
1.700000000000000122e-02 0.000000000000000000e+00 -1.447173376930000028e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.066304133113088229e-11 -2.686067383648871328e+05 4.375523856567499550e-12 1.648238185924521167e+04 7.328463602132759713e-12 2.955883167260734626e+04
1.799999999999999864e-02 0.000000000000000000e+00 -1.447131565600000089e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.129027905649152128e-11 -2.844071347392922034e+05 4.905431590061832215e-12 1.847851807057248516e+04 8.699287548878125371e-12 3.508795162113697734e+04
1.899999999999999953e-02 0.000000000000000000e+00 -1.447087790749999927e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.191751678185216189e-11 -3.002075311136973323e+05 5.465619765470128662e-12 2.058871920826131827e+04 1.023120941319531603e-11 4.126684845153953938e+04
2.000000000000000042e-02 0.000000000000000000e+00 -1.447043953879999928e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.254475450721280250e-11 -3.160079274881024612e+05 6.056088382792386468e-12 2.281298527231171101e+04 1.193317907939386721e-11 4.813162087947461259e+04
2.100000000000000130e-02 0.000000000000000000e+00 -1.446997973269999959e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.317199223257344311e-11 -3.318083238625075901e+05 6.676837442028606440e-12 2.515131626272366339e+04 1.381414643178332573e-11 5.571836762060179899e+04
2.199999999999999872e-02 0.000000000000000000e+00 -1.446947749090000056e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.379922995793408049e-11 -3.476087202369127190e+05 7.327866943178786156e-12 2.760371217949716811e+04 1.588306135467323356e-11 6.406318739058068604e+04
2.299999999999999961e-02 0.000000000000000000e+00 -1.446902668689999962e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.442646768329472110e-11 -3.634091166113178479e+05 8.009176886242931269e-12 3.017017302263223610e+04 1.814887373237314398e-11 7.320217890507093398e+04
2.400000000000000050e-02 0.000000000000000000e+00 -1.446853554879999952e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.505370540865536171e-11 -3.792095129857229767e+05 8.720767271221036125e-12 3.285069879212886735e+04 2.062053344919259898e-11 8.317144087973210844e+04
2.500000000000000139e-02 0.000000000000000000e+00 -1.446798474269999890e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.568094313401600232e-11 -3.950099093601281056e+05 9.462638098113105572e-12 3.564528948798705824e+04 2.330699038944114859e-11 9.400707203022384783e+04
2.599999999999999881e-02 0.000000000000000000e+00 -1.446751522779999999e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.630818085937664293e-11 -4.108103057345331763e+05 1.023478936691913315e-11 3.855394511020679056e+04 2.621719443742832026e-11 1.057451710722056887e+05
2.699999999999999969e-02 0.000000000000000000e+00 -1.446703544909999939e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.693541858473728354e-11 -4.266107021089383052e+05 1.103722107763912369e-11 4.157666565878809342e+04 2.936009547746368019e-11 1.184218367213373131e+05
2.800000000000000058e-02 0.000000000000000000e+00 -1.446656417600000044e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.756265631009792415e-11 -4.424110984833434341e+05 1.186993323027307883e-11 4.471345113373095955e+04 3.274464339385676875e-11 1.320731676932783157e+05
2.900000000000000147e-02 0.000000000000000000e+00 -1.446621419890000019e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.818989403545856476e-11 -4.582114948577486211e+05 1.273292582482099372e-11 4.796430153503537440e+04 3.637978807091712952e-11 1.467352627036882623e+05
2.999999999999999889e-02 0.000000000000000000e+00 -1.446564004470000044e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.881713176081920214e-11 -4.740118912321536918e+05 1.362619886128286996e-11 5.132921686270135251e+04 4.027447939295429639e-11 1.624442204682267620e+05
3.099999999999999978e-02 0.000000000000000000e+00 -1.446514549379999982e+06 -7.460698725481051952e-14 -7.717425032035298645e+05 1.944436948617984275e-11 -4.898122876065588207e+05 1.454975233965870756e-11 5.480819711672888661e+04 4.443766724427782912e-11 1.792361397025534534e+05
