y(m)  Ex_total(V/m)  Ey_total(V/m)  Ex_dipole(V/m)  Ey_dipole(V/m)  Ex_quadrupole(V/m)  Ey_quadrupole(V/m)  Ex_sextupole(V/m)  Ey_sextupole(V/m)  Ex_octupole(V/m)  Ey_octupole(V/m)
1.400000000000000029e-02 0.000000000000000000e+00 -1.441684089380000019e+06 0.000000000000000000e+00 -1.439757801261902321e+06 8.149072527885437787e-11 1.025472439732402652e+00 5.704350769519806451e-11 -2.203481300019998343e+03 -1.996522769331931902e-10 2.801456132387276643e+00
1.499999999999999944e-02 0.000000000000000000e+00 -1.441930512859999901e+06 0.000000000000000000e+00 -1.439757801261902321e+06 8.731149137020111084e-11 1.098720471141859889e+00 6.548361852765083313e-11 -2.529506594410711841e+03 -2.455635694786905725e-10 3.445668530177499189e+00
1.600000000000000033e-02 0.000000000000000000e+00 -1.442172138550000032e+06 0.000000000000000000e+00 -1.439757801261902321e+06 9.313225746154785673e-11 1.171968502551317348e+00 7.450580596923828280e-11 -2.878016391862854562e+03 -2.980232238769530795e-10 4.181765422105788943e+00
1.700000000000000122e-02 0.000000000000000000e+00 -1.442425086159999948e+06 0.000000000000000000e+00 -1.439757801261902321e+06 9.895302355289460262e-11 1.245216533960774585e+00 8.411007001996040706e-11 -3.249010692376426050e+03 -3.574677975848317332e-10 5.015872441114683333e+00
1.799999999999999864e-02 0.000000000000000000e+00 -1.442682535309999948e+06 0.000000000000000000e+00 -1.439757801261902321e+06 1.047737896442413227e-10 1.318464565370231822e+00 9.429641067981719299e-11 -3.642489495951424942e+03 -4.243338480591771940e-10 5.954115220146717569e+00
1.899999999999999953e-02 0.000000000000000000e+00 -1.442931874079999980e+06 0.000000000000000000e+00 -1.439757801261902321e+06 1.105945557355880686e-10 1.391712596779689060e+00 1.050648279488086664e-10 -4.058452802587853512e+03 -4.990579327568411041e-10 7.002619392144434407e+00
2.000000000000000042e-02 0.000000000000000000e+00 -1.443169893990000011e+06 0.000000000000000000e+00 -1.439757801261902321e+06 1.164153218269348145e-10 1.464960628189146519e+00 1.164153218269348145e-10 -4.496900612285709940e+03 -5.820766091346740723e-10 8.167510590050369501e+00
2.100000000000000130e-02 0.000000000000000000e+00 -1.443426359979999950e+06 0.000000000000000000e+00 -1.439757801261902321e+06 1.222360879182815603e-10 1.538208659598603978e+00 1.283478923141956371e-10 -4.957832925044996045e+03 -6.738264346495270688e-10 9.454914446807059392e+00
2.199999999999999872e-02 0.000000000000000000e+00 -1.443651410429999931e+06 0.000000000000000000e+00 -1.439757801261902321e+06 1.280568540096282804e-10 1.611456691008060993e+00 1.408625394105911214e-10 -5.441249740865709100e+03 -7.747439667582509089e-10 1.087095659535703973e+01
2.299999999999999961e-02 0.000000000000000000e+00 -1.443874550599999959e+06 0.000000000000000000e+00 -1.439757801261902321e+06 1.338776201009750263e-10 1.684704722417518452e+00 1.539592631161212673e-10 -5.947151059747850923e+03 -8.852657629176971319e-10 1.242176266864285239e+01
2.400000000000000050e-02 0.000000000000000000e+00 -1.444103609699999914e+06 0.000000000000000000e+00 -1.439757801261902321e+06 1.396983861923217722e-10 1.757952753826975911e+00 1.676380634307861266e-10 -6.475536881691422423e+03 -1.005828380584716656e-09 1.411345829960703746e+01
2.500000000000000139e-02 0.000000000000000000e+00 -1.444299495869999984e+06 0.000000000000000000e+00 -1.439757801261902321e+06 1.455191522836685181e-10 1.831200785236433148e+00 1.818989403545856734e-10 -7.026407206696423600e+03 -1.136868377216160297e-09 1.595216912119212971e+01
2.599999999999999881e-02 0.000000000000000000e+00 -1.444490306499999948e+06 0.000000000000000000e+00 -1.439757801261902321e+06 1.513399183750152640e-10 1.904448816645890386e+00 1.967418938875198302e-10 -7.599762034762849908e+03 -1.278822310268878664e-09 1.794402076634066034e+01
2.699999999999999969e-02 0.000000000000000000e+00 -1.444660003460000036e+06 0.000000000000000000e+00 -1.439757801261902321e+06 1.571606844663620099e-10 1.977696848055347845e+00 2.121669240295886745e-10 -8.195601365890706802e+03 -1.432126737199723191e-09 2.009513886799517479e+01
2.800000000000000058e-02 0.000000000000000000e+00 -1.444816296980000101e+06 0.000000000000000000e+00 -1.439757801261902321e+06 1.629814505577087557e-10 2.050944879464805304e+00 2.281740307807922580e-10 -8.813925200079993374e+03 -1.597218215465545522e-09 2.241164905909821314e+01
2.900000000000000147e-02 0.000000000000000000e+00 -1.444930332560000010e+06 0.000000000000000000e+00 -1.439757801261902321e+06 1.688022166490555016e-10 2.124192910874262541e+00 2.447632141411304515e-10 -9.454733537330706895e+03 -1.774533302523195644e-09 2.489967697259230661e+01
2.999999999999999889e-02 0.000000000000000000e+00 -1.445081189849999966e+06 0.000000000000000000e+00 -1.439757801261902321e+06 1.746229827404022217e-10 2.197440942283719778e+00 2.619344741106033325e-10 -1.011802637764284736e+04 -1.964508555829524580e-09 2.756534824141999351e+01
