x  y   Ex  Ey
-2.018867924528294777e-03    -2.839622641509434442e-02    8.355782366255220950e+02    -1.714478150219470961e+06
-6.729559748427649257e-04    -2.839622641509434442e-02    7.794990317714068340e+01    -1.714927267759478651e+06
6.729559748427788035e-04    -2.839622641509434442e-02    -3.761529541502721372e+02    -1.714990928392136702e+06
2.018867924528308655e-03    -2.839622641509434442e-02    -5.604122690662437662e+02    -1.714622203535365872e+06
3.364779874213838506e-03    -2.839622641509434442e-02    -9.163379387877517956e+02    -1.714521108174662339e+06
4.710691823899382236e-03    -2.839622641509434442e-02    -1.228765770890200429e+03    -1.713962102754542371e+06
6.056603773584912087e-03    -2.839622641509434442e-02    -1.828172556267907567e+03    -1.713773519739885814e+06
7.402515723270441939e-03    -2.839622641509434442e-02    -1.696390231402286872e+03    -1.713397402763619088e+06
8.748427672955985668e-03    -2.839622641509434442e-02    -1.882115510202479754e+03    -1.713040521909761010e+06
1.009433962264151552e-02    -2.839622641509434442e-02    -1.709001426529134960e+03    -1.712341689450897276e+06
1.144025157232704537e-02    -2.839622641509434442e-02    -1.709001426529134960e+03    -1.712341689450897276e+06
1.278616352201258910e-02    -2.839622641509434442e-02    -1.724080354920323089e+03    -1.711426899584456114e+06
1.413207547169811895e-02    -2.839622641509434442e-02    -1.672958473358881747e+03    -1.710909292361858534e+06
1.547798742138364880e-02    -2.839622641509434442e-02    -1.131627664688490086e+03    -1.710747336201598635e+06
1.682389937106919253e-02    -2.839622641509434442e-02    -9.564576872868998407e+02    -1.710175701873642160e+06
1.816981132075472238e-02    -2.839622641509434442e-02    5.261003615430115588e+01    -1.709479932688027387e+06
1.951572327044025223e-02    -2.839622641509434442e-02    5.261003615430115588e+01    -1.709479932688027387e+06
2.086163522012578209e-02    -2.839622641509434442e-02    1.075899044059423204e+03    -1.707949173986960901e+06
2.220754716981131194e-02    -2.839622641509434442e-02    1.800898533796949550e+03    -1.706968882560520200e+06
2.355345911949686954e-02    -2.839622641509434442e-02    3.110113226313895666e+03    -1.707307829394264845e+06
2.489937106918239940e-02    -2.839622641509434442e-02    4.331915258904205075e+03    -1.706278234081735136e+06
2.624528301886792925e-02    -2.839622641509434442e-02    7.834549163534022227e+03    -1.706162035213305382e+06
2.759119496855345910e-02    -2.839622641509434442e-02    1.027342203561624228e+04    -1.701978581869441085e+06
